
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -3.07843842e+02, 2.23978138e+00, 3.40430379e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -2.33582077e+02, -8.10189471e-02, 6.64667666e-01
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -2.32539642e+02, -2.35460237e-01, 7.04929173e-01
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -2.30392944e+02, -7.25590438e-02, 7.70525217e-01
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -2.30342026e+02, -2.77946055e-01, 7.79067397e-01
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -2.27372055e+02, -1.45056784e-01, 8.81552160e-01
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -2.27781921e+02, -3.49901557e-01, 8.67681742e-01
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, -7.60816193e+01, 1.85386734e+01, 1.45497217e+01
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, -6.44586334e+01, 1.75036469e+01, 1.41964865e+01
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 2.43614288e+02, 6.55763054e+00, -9.92724609e+00
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 2.30028549e+02, 6.44018745e+00, -9.61398125e+00
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -1.92592560e+02, 1.33394842e+01, -3.75148952e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -1.91485443e+02, 1.68572903e+01, -5.17539084e-01
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -2.26999405e+02, -4.90466714e-01, -7.51066983e-01
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -2.26597366e+02, -5.03554583e-01, -8.18520248e-01
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -2.35006165e+02, 1.87603645e+01, -1.01785622e+01
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 9.42128906e+01, 2.67504807e+01, -4.55437994e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -1.42378998e+02, 3.38112450e+01, 2.30504227e+00
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -1.91227753e+02, 2.96041908e+01, 2.71355629e+00
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -2.07403000e+02, 1.58126173e+01, -8.58417034e-01
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 6.18223953e+01, 2.58755016e+01, 1.14139566e+01
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -2.22182480e+02, -5.24037518e-02, -1.07982802e+00
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -3.17233459e+02, 1.66505375e+01, -5.83871746e+00
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 4.62490540e+02, 1.55988729e+00, -3.32510591e+00
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 4.60832977e+02, 1.34966373e+00, -3.25792050e+00
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 3.76836090e+02, 3.18335557e+00, -6.60100651e+00
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 3.65510559e+02, 3.14666843e+00, -6.52610064e+00
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -3.53256287e+02, 9.75762272e+00, -1.58155072e+00
