
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -1.41493518e+03, 3.74893546e+00, 1.09990314e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -1.13929810e+03, -2.03689218e+00, 2.62142062e+00
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -1.13633618e+03, -2.16480899e+00, 2.63522696e+00
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -1.13140845e+03, -2.07712531e+00, 2.87034631e+00
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -1.13095508e+03, -2.22418523e+00, 2.78678131e+00
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -1.12381152e+03, -2.17353916e+00, 3.08950663e+00
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -1.12478479e+03, -2.29198480e+00, 2.95048952e+00
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, -5.06088928e+02, 5.33521652e+01, 4.11461868e+01
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, -4.51554199e+02, 5.12067986e+01, 4.09334412e+01
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 1.13632349e+03, 2.07138023e+01, -3.08870277e+01
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 1.05709326e+03, 2.06373558e+01, -3.04384460e+01
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -1.06500110e+03, 3.16762447e+01, -2.48526645e+00
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -1.05326843e+03, 4.29599724e+01, -3.13183141e+00
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -1.12067700e+03, -1.90113926e+00, -2.34161472e+00
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -1.12002356e+03, -2.05914021e+00, -2.56343126e+00
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -1.34322644e+03, 5.71606407e+01, -3.12204990e+01
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 4.38527557e+02, 6.21739044e+01, -9.85749435e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -7.75681702e+02, 7.91727905e+01, 6.42987251e+00
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -9.77906128e+02, 7.67596588e+01, 9.48475266e+00
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -1.07306897e+03, 4.17793121e+01, -4.33392811e+00
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 3.03332306e+02, 6.02760620e+01, 2.44035072e+01
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -1.11055151e+03, -1.99507141e+00, -3.43563032e+00
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -1.71457251e+03, 5.16175232e+01, -1.89369507e+01
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 2.33782910e+03, 5.14704847e+00, -1.05879087e+01
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 2.32411768e+03, 4.51593161e+00, -1.06241407e+01
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 1.85911707e+03, 1.03350868e+01, -2.10638676e+01
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 1.79299170e+03, 1.03264132e+01, -2.11214695e+01
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -1.79191016e+03, 2.90364685e+01, -5.54677963e+00
