
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -1.92391376e+01, 5.03301561e-01, 1.22476369e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -1.56500578e+01, 2.70197660e-01, -1.32845044e-01
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -1.56140242e+01, 2.21519291e-01, -1.14212483e-01
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -1.53041353e+01, 2.87768632e-01, -1.35151088e-01
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -1.53978529e+01, 2.16175586e-01, -1.09523952e-01
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -1.50006924e+01, 2.76647389e-01, -1.27081528e-01
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -1.51461687e+01, 1.99678972e-01, -9.97290537e-02
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, 2.00265622e+00, 2.19330311e+00, 1.70801497e+00
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, 2.65529299e+00, 2.03252888e+00, 1.63678026e+00
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 1.81201115e+01, 6.86748803e-01, -1.04784393e+00
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 1.75884209e+01, 6.65226877e-01, -9.98243093e-01
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -9.26873398e+00, 2.37785602e+00, 4.06352460e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -9.28372288e+00, 2.78096080e+00, 4.01139170e-01
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -1.53124304e+01, 8.17402080e-02, 4.83222641e-02
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -1.52251644e+01, 1.02176748e-01, 5.76481074e-02
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -6.59003878e+00, 2.17887807e+00, -1.13355088e+00
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 6.51625252e+00, 5.64895248e+00, -1.27829623e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -6.96548748e+00, 6.18067694e+00, 9.10381675e-02
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -1.06482515e+01, 4.43735552e+00, -1.14067078e-01
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -1.18814945e+01, 2.59763861e+00, 3.39082181e-01
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 4.14006233e+00, 5.08621216e+00, 2.79333353e+00
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -1.44117222e+01, 3.22915763e-01, 1.32060871e-01
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -1.24453306e+01, 1.99549747e+00, -6.35919273e-01
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 2.80992699e+01, 1.55598328e-01, -3.43423784e-01
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 2.81496086e+01, 1.32780373e-01, -3.28732878e-01
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 2.43359947e+01, 3.23399335e-01, -6.79452837e-01
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 2.38998489e+01, 3.15628052e-01, -6.62708819e-01
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -1.69262962e+01, 1.28509605e+00, -1.55446917e-01
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -1.72005405e+01, 1.14081192e+00, -1.17995970e-01
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -1.85392132e+01, 1.06190526e+00, 2.82838121e-02
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -1.88011093e+01, 9.36105251e-01, 4.69360836e-02
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -1.76725426e+01, 1.17104650e+00, 6.24873601e-02
2.49690250e-01, 3.71678323e-01, 3.49999988e-03, -1.76121502e+01, 1.07923615e+00, 7.16032088e-02
2.17573375e-01, 3.07989866e-01, 3.49999988e-03, 4.94548845e+00, 5.69984674e+00, -2.00652313e+00
2.85152465e-01, 3.71849865e-01, 3.49999988e-03, -1.05916681e+01, 1.60728824e+00, -3.48153383e-01
2.30627552e-01, 3.05202305e-01, 3.49999988e-03, -4.47886288e-02, 6.33236837e+00, -2.21374297e+00
2.90271044e-01, 3.60522479e-01, 3.49999988e-03, -1.00719986e+01, 4.07619387e-01, -1.73000112e-01
2.80164719e-01, 3.54305744e-01, 3.49999988e-03, -1.14259167e+01, -9.65981558e-03, -1.42667005e-02
2.19507426e-01, 3.57373744e-01, 3.49999988e-03, 2.04332123e+01, 2.13800907e+00, 1.27095950e+00
2.71199197e-01, 3.31573874e-01, 3.49999988e-03, -1.37438831e+01, 7.26088047e-01, 2.29236647e-01
2.65724510e-01, 3.72013777e-01, 3.49999988e-03, -1.52952909e+01, 1.25572336e+00, -3.11156720e-01
2.29250818e-01, 3.35905313e-01, 3.49999988e-03, 1.29531832e+01, 1.99665105e+00, -2.18699336e+00
2.74949193e-01, 3.40164900e-01, 3.49999988e-03, -1.24406223e+01, 8.52724388e-02, 2.01317556e-02
2.41035432e-01, 3.73794675e-01, 3.49999988e-03, -8.70915413e+00, 3.44265652e+00, 1.48084772e+00
2.68660724e-01, 3.34149688e-01, 3.49999988e-03, -1.47196732e+01, 2.87075877e-01, 1.25509098e-01
2.71433324e-01, 3.55509847e-01, 3.49999988e-03, -1.23892183e+01, -1.18048675e-02, 3.26228850e-02
2.65049905e-01, 3.66360754e-01, 3.49999988e-03, -1.63754921e+01, 2.04059646e-01, -1.12659954e-01
2.32290149e-01, 3.62280309e-01, 3.49999988e-03, 1.42812443e+01, 7.17254579e-01, 9.46423471e-01
2.36904576e-01, 3.32802802e-01, 3.49999988e-03, 5.77610850e-01, 1.17589462e+00, -8.83936346e-01
2.38766909e-01, 3.31582099e-01, 3.49999988e-03, -3.62910080e+00, 1.24100590e+00, -7.67478466e-01
2.43490577e-01, 3.71544540e-01, 3.49999988e-03, -1.18599262e+01, 1.88413179e+00, 6.43992901e-01
2.70347357e-01, 3.42804104e-01, 3.49999988e-03, -1.28556833e+01, -9.30574629e-03, -2.91734561e-02
2.54969299e-01, 3.71057481e-01, 3.49999988e-03, -1.92717590e+01, 7.09197581e-01, -1.10103168e-01
2.59555727e-01, 3.23622167e-01, 3.49999988e-03, -1.55676079e+01, 2.63869858e+00, 1.51904240e-01
2.27747604e-01, 3.45203340e-01, 3.49999988e-03, 2.58286896e+01, 3.86015922e-01, -6.91521823e-01
2.69646943e-01, 3.65731299e-01, 3.49999988e-03, -1.43219824e+01, 3.31893533e-01, -1.34763598e-01
2.63427705e-01, 3.29155266e-01, 3.49999988e-03, -1.63983517e+01, 9.41330612e-01, 2.75944382e-01
2.81542689e-01, 3.61594617e-01, 3.49999988e-03, -1.13532209e+01, 3.11873823e-01, -1.26627102e-01
2.72948742e-01, 3.58362466e-01, 3.49999988e-03, -1.26554203e+01, 1.69935133e-02, 1.88661665e-02
2.02920020e-01, 3.33051503e-01, 3.49999988e-03, 1.38622913e+01, 4.24676228e+00, -1.10280299e+00
2.63123095e-01, 3.30503851e-01, 3.49999988e-03, -1.68374729e+01, 6.24046803e-01, 2.25609958e-01
2.71574557e-01, 3.47456813e-01, 3.49999988e-03, -1.19398375e+01, -9.00582504e-03, -1.73546504e-02
2.26574540e-01, 3.53124589e-01, 3.49999988e-03, 2.62694187e+01, 4.54956442e-01, 5.26352823e-01
2.73250550e-01, 3.59335810e-01, 3.49999988e-03, -1.27345934e+01, 4.18671556e-02, 4.89169033e-03
2.57501721e-01, 3.27497274e-01, 3.49999988e-03, -1.78406487e+01, 1.31035030e+00, 2.04013586e-01
2.65878975e-01, 3.26172829e-01, 3.49999988e-03, -1.47860012e+01, 1.74994981e+00, 3.24121505e-01
6.52559578e-01, 1.88107286e-02, 3.49999988e-03, -2.74136722e-01, 6.14515829e+00, 3.30058811e-03
2.77570635e-01, 3.56877506e-01, 3.49999988e-03, -1.18642225e+01, 2.70116571e-02, -9.90247540e-03
2.26602644e-01, 3.45838636e-01, 3.49999988e-03, 2.55579376e+01, 5.37914634e-01, -7.11007476e-01
2.68359929e-01, 3.65447044e-01, 3.49999988e-03, -1.47766256e+01, 2.39546776e-01, -1.09569401e-01
9.93400872e-01, 3.51041257e-01, 3.49999988e-03, 1.82352643e-02, 4.76359177e+00, -1.79388106e-03
2.79782891e-01, 4.05653566e-01, 3.49999988e-03, -7.17668867e+00, 6.81701422e+00, 4.95207101e-01
2.67969161e-01, 3.64793926e-01, 3.49999988e-03, -1.49322338e+01, 1.70199051e-01, -8.44411626e-02
2.67701030e-01, 3.36016715e-01, 3.49999988e-03, -1.50437222e+01, 1.07707903e-01, 5.76127395e-02
9.79667842e-01, 3.82926241e-02, 3.49999988e-03, -9.61903483e-03, 6.18869066e+00, 3.98813840e-03
9.80044246e-01, 2.88657136e-02, 3.49999988e-03, -1.09455902e-02, 6.14238644e+00, 2.38884613e-03
9.80105996e-01, 1.93297658e-02, 3.49999988e-03, -1.25874467e-02, 6.09381294e+00, 1.16602448e-03
9.79430377e-01, 4.75698002e-02, 3.49999988e-03, -8.48718639e-03, 6.23228168e+00, 5.86920511e-03
9.70107973e-01, 2.83260960e-02, 3.49999988e-03, -1.72088873e-02, 6.14147329e+00, 2.25517154e-03
9.79675412e-01, 6.61354721e-01, 3.49999988e-03, -1.03869373e-02, 6.19083023e+00, -4.18125791e-03
