
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -4.05140724e+01, 7.84158528e-01, 1.78429097e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -3.17519836e+01, 3.23359609e-01, -1.02145746e-01
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -3.16296883e+01, 2.51488000e-01, -7.65042901e-02
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -3.10877266e+01, 3.44266951e-01, -9.41945463e-02
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -3.11949329e+01, 2.40803093e-01, -6.37177154e-02
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -3.04827538e+01, 3.23889911e-01, -7.38054663e-02
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -3.06867123e+01, 2.14037627e-01, -4.35752198e-02
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, -4.89231110e-01, 3.91719484e+00, 3.06631565e+00
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, 9.05474365e-01, 3.64349365e+00, 2.94782925e+00
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 3.46295738e+01, 1.26144075e+00, -1.92447591e+00
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 3.33857155e+01, 1.22474134e+00, -1.83838451e+00
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -2.01838112e+01, 3.81227565e+00, 4.49334770e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -2.02216415e+01, 4.53315544e+00, 4.31362867e-01
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -3.08286514e+01, 5.84301762e-02, -6.95318216e-03
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -3.06888733e+01, 8.20710659e-02, -2.09414377e-03
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -1.87836380e+01, 3.88434577e+00, -2.04507470e+00
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 1.26899891e+01, 8.53623581e+00, -1.74206996e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -1.51338387e+01, 9.94882584e+00, 3.14632177e-01
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -2.28390579e+01, 7.41739750e+00, 6.73239976e-02
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -2.51487656e+01, 4.22830009e+00, 3.26277554e-01
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 7.79945660e+00, 8.00642014e+00, 4.17145348e+00
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -2.93528461e+01, 3.84736031e-01, 5.92578799e-02
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -3.04661579e+01, 3.51655126e+00, -1.14846492e+00
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 5.69577484e+01, 2.89161503e-01, -6.34480298e-01
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 5.69807281e+01, 2.47384265e-01, -6.09872878e-01
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 4.84405594e+01, 5.98287761e-01, -1.25519145e+00
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 4.74102859e+01, 5.85290909e-01, -1.22708070e+00
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -3.85904884e+01, 2.21347713e+00, -2.87419975e-01
