
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -4.91208305e+01, 8.76165509e-01, 1.95154041e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -3.82101898e+01, 3.31197351e-01, -8.25127959e-02
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -3.80522881e+01, 2.52113312e-01, -5.48634045e-02
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -3.74272652e+01, 3.52714598e-01, -7.02932030e-02
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -3.75353241e+01, 2.39532396e-01, -3.90008613e-02
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -3.67103653e+01, 3.29124063e-01, -4.52458970e-02
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -3.69307938e+01, 2.09397197e-01, -1.50611121e-02
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, -1.94222081e+00, 4.54854012e+00, 3.56441021e+00
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, -2.40131915e-01, 4.23532486e+00, 3.43005729e+00
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 4.11484985e+01, 1.47587037e+00, -2.25116372e+00
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 3.95951576e+01, 1.43396854e+00, -2.15231848e+00
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -2.48000622e+01, 4.30781841e+00, 4.48501110e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -2.48384933e+01, 5.14542103e+00, 4.25789565e-01
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -3.70476875e+01, 4.40016314e-02, -3.28654647e-02
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -3.68914261e+01, 6.78632781e-02, -3.03437468e-02
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -2.42368336e+01, 4.51057768e+00, -2.38183117e+00
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 1.51559668e+01, 9.49836731e+00, -1.89303660e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -1.85581131e+01, 1.12194958e+01, 3.95443767e-01
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -2.78586845e+01, 8.47245312e+00, 1.48610741e-01
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -3.05970459e+01, 4.79633474e+00, 3.05528313e-01
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 9.27714062e+00, 8.97298622e+00, 4.60263681e+00
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -3.53786774e+01, 3.93254042e-01, 2.21603960e-02
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -3.82304039e+01, 4.07253933e+00, -1.33858120e+00
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 6.87267456e+01, 3.39383632e-01, -7.43215322e-01
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 6.87282639e+01, 2.90571898e-01, -7.15317428e-01
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 5.81779404e+01, 7.01365709e-01, -1.47056592e+00
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 5.68887863e+01, 6.86623096e-01, -1.43868315e+00
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -4.76893005e+01, 2.54761124e+00, -3.37227494e-01
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -4.82442360e+01, 2.25396705e+00, -2.57157654e-01
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -4.97965050e+01, 2.02346468e+00, 2.34357882e-02
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -5.02053604e+01, 1.77078021e+00, 6.35446683e-02
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -4.88120689e+01, 2.28420305e+00, 1.50196016e-01
2.49690250e-01, 3.71678323e-01, 3.49999988e-03, -4.88565140e+01, 2.11332297e+00, 1.63408354e-01
2.17573375e-01, 3.07989866e-01, 3.49999988e-03, 1.14111938e+01, 9.60591984e+00, -3.00070024e+00
2.85152465e-01, 3.71849865e-01, 3.49999988e-03, -2.76537533e+01, 2.75300789e+00, -3.29248071e-01
2.30627552e-01, 3.05202305e-01, 3.49999988e-03, -7.65979946e-01, 1.06591578e+01, -3.39581680e+00
2.90271044e-01, 3.60522479e-01, 3.49999988e-03, -2.63812981e+01, 3.28996271e-01, -1.22150578e-01
2.80164719e-01, 3.54305744e-01, 3.49999988e-03, -2.87892666e+01, -2.35766217e-01, 8.25796947e-02
2.19507426e-01, 3.57373744e-01, 3.49999988e-03, 5.13975029e+01, 4.10706568e+00, 2.21618009e+00
2.71199197e-01, 3.31573874e-01, 3.49999988e-03, -3.41895180e+01, 1.09577262e+00, 1.50944218e-01
2.65724510e-01, 3.72013777e-01, 3.49999988e-03, -3.82791595e+01, 2.14026046e+00, -3.57064873e-01
2.29250818e-01, 3.35905313e-01, 3.49999988e-03, 2.89977207e+01, 4.04463005e+00, -4.39233732e+00
2.74949193e-01, 3.40164900e-01, 3.49999988e-03, -3.08607445e+01, -1.32691804e-02, -1.73793256e-01
2.41035432e-01, 3.73794675e-01, 3.49999988e-03, -2.84807816e+01, 6.93033171e+00, 3.06099129e+00
2.68660724e-01, 3.34149688e-01, 3.49999988e-03, -3.60399094e+01, 3.39436591e-01, 2.76379250e-02
2.71433324e-01, 3.55509847e-01, 3.49999988e-03, -3.01693459e+01, -5.68403602e-02, 1.35760382e-01
2.65049905e-01, 3.66360754e-01, 3.49999988e-03, -3.98213806e+01, 2.42047787e-01, -8.49735960e-02
2.32290149e-01, 3.62280309e-01, 3.49999988e-03, 3.03598366e+01, 1.54930818e+00, 2.04749107e+00
2.36904576e-01, 3.32802802e-01, 3.49999988e-03, -6.39320374e+00, 2.50278258e+00, -1.89211047e+00
2.38766909e-01, 3.31582099e-01, 3.49999988e-03, -1.72189827e+01, 2.62428069e+00, -1.63585603e+00
2.43490577e-01, 3.71544540e-01, 3.49999988e-03, -3.70033302e+01, 3.85944104e+00, 1.35541666e+00
2.70347357e-01, 3.42804104e-01, 3.49999988e-03, -3.11789227e+01, -5.20195179e-02, -1.28105283e-01
2.54969299e-01, 3.71057481e-01, 3.49999988e-03, -5.00539093e+01, 1.28825092e+00, -1.77657798e-01
2.59555727e-01, 3.23622167e-01, 3.49999988e-03, -4.05239563e+01, 4.97558260e+00, 7.24638179e-02
2.27747604e-01, 3.45203340e-01, 3.49999988e-03, 6.33032417e+01, 8.27558696e-01, -1.46368229e+00
2.69646943e-01, 3.65731299e-01, 3.49999988e-03, -3.51870956e+01, 4.06219870e-01, -2.10154448e-02
2.63427705e-01, 3.29155266e-01, 3.49999988e-03, -4.08904419e+01, 1.55947077e+00, 3.43000501e-01
2.81542689e-01, 3.61594617e-01, 3.49999988e-03, -2.89442844e+01, 2.79228598e-01, 1.83961000e-02
2.72948742e-01, 3.58362466e-01, 3.49999988e-03, -3.10949097e+01, -7.75171220e-02, 1.98906958e-01
2.02920020e-01, 3.33051503e-01, 3.49999988e-03, 3.37648811e+01, 7.41052675e+00, -1.65676534e+00
2.63123095e-01, 3.30503851e-01, 3.49999988e-03, -4.16941147e+01, 9.79970396e-01, 2.76723564e-01
