
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -5.64613708e+02, 2.81060410e+00, 3.09552044e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -4.33897980e+02, -6.60866380e-01, 1.29696965e+00
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -4.32222015e+02, -8.18594992e-01, 1.33015239e+00
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -4.29183990e+02, -6.71243429e-01, 1.45706773e+00
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -4.28955475e+02, -8.72078896e-01, 1.43371415e+00
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -4.24685669e+02, -7.59388566e-01, 1.61067855e+00
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -4.25139984e+02, -9.50449347e-01, 1.55091715e+00
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, -1.65327499e+02, 2.92044334e+01, 2.28299885e+01
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, -1.43902710e+02, 2.77503033e+01, 2.24287491e+01
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 4.69336700e+02, 1.07188015e+01, -1.61519070e+01
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 4.40754578e+02, 1.05838251e+01, -1.57428541e+01
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -3.84743988e+02, 1.86309814e+01, -1.34142828e+00
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -3.81550781e+02, 2.43036118e+01, -1.60825539e+00
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -4.23527069e+02, -9.41248119e-01, -1.27637792e+00
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -4.23032898e+02, -9.99686301e-01, -1.39720058e+00
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -4.81187256e+02, 3.00719070e+01, -1.64339333e+01
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 1.84371063e+02, 3.81736679e+01, -6.33564806e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -2.88399719e+02, 4.85032921e+01, 4.01956940e+00
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -3.66369507e+02, 4.42540817e+01, 5.09598303e+00
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -3.96369568e+02, 2.31951218e+01, -2.04221702e+00
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 1.27596512e+02, 3.69139862e+01, 1.57009592e+01
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -4.17075653e+02, -6.54728293e-01, -1.88781190e+00
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -6.32361267e+02, 2.66910782e+01, -9.58338356e+00
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 9.16482300e+02, 2.59230042e+00, -5.45444107e+00
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 9.12261902e+02, 2.25453353e+00, -5.39177322e+00
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 7.40027466e+02, 5.25736809e+00, -1.08375854e+01
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 7.16278442e+02, 5.21833754e+00, -1.07700500e+01
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -6.82905762e+02, 1.52619390e+01, -2.67021275e+00
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -6.84388855e+02, 1.32798243e+01, -2.06097054e+00
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -6.40922791e+02, 1.03818779e+01, -5.23499250e-01
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -6.37201416e+02, 8.74285221e+00, -2.17384875e-01
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -6.69572693e+02, 1.28345518e+01, 1.47444415e+00
2.49690250e-01, 3.71678323e-01, 3.49999988e-03, -6.77407166e+02, 1.19900942e+01, 1.45518684e+00
2.17573375e-01, 3.07989866e-01, 3.49999988e-03, 1.43057663e+02, 3.84453163e+01, -9.96739292e+00
2.85152465e-01, 3.71849865e-01, 3.49999988e-03, -3.92427582e+02, 9.17225742e+00, 1.67071676e+00
2.30627552e-01, 3.05202305e-01, 3.49999988e-03, -3.67940259e+00, 4.18123665e+01, -1.12878904e+01
2.90271044e-01, 3.60522479e-01, 3.49999988e-03, -3.88636139e+02, -2.65001631e+00, 1.52168596e+00
2.80164719e-01, 3.54305744e-01, 3.49999988e-03, -3.84996216e+02, -2.76560092e+00, 1.23141420e+00
2.19507426e-01, 3.57373744e-01, 3.49999988e-03, 7.05375854e+02, 2.00915394e+01, 8.17324924e+00
2.71199197e-01, 3.31573874e-01, 3.49999988e-03, -4.11805908e+02, 1.66019809e+00, -1.74490213e+00
2.65724510e-01, 3.72013777e-01, 3.49999988e-03, -4.42924805e+02, 7.29427147e+00, 7.24843025e-01
2.29250818e-01, 3.35905313e-01, 3.49999988e-03, 3.56641968e+02, 2.28488007e+01, -2.31036739e+01
2.74949193e-01, 3.40164900e-01, 3.49999988e-03, -3.93734772e+02, -1.54363227e+00, -2.46456289e+00
2.41035432e-01, 3.73794675e-01, 3.49999988e-03, -4.68548462e+02, 4.07765846e+01, 1.87997284e+01
2.68660724e-01, 3.34149688e-01, 3.49999988e-03, -4.20526550e+02, -7.52021968e-01, -1.74246895e+00
2.71433324e-01, 3.55509847e-01, 3.49999988e-03, -3.84254089e+02, -5.18935144e-01, 1.17965353e+00
2.65049905e-01, 3.66360754e-01, 3.49999988e-03, -4.43631409e+02, -6.71468675e-01, 9.75895226e-01
2.32290149e-01, 3.62280309e-01, 3.49999988e-03, 2.86104309e+02, 1.16454048e+01, 1.53504143e+01
2.36904576e-01, 3.32802802e-01, 3.49999988e-03, -2.73240143e+02, 1.83741245e+01, -1.40609999e+01
2.38766909e-01, 3.31582099e-01, 3.49999988e-03, -4.20454346e+02, 1.90785275e+01, -1.21090012e+01
2.43490577e-01, 3.71544540e-01, 3.49999988e-03, -6.28053040e+02, 2.56188297e+01, 9.74780846e+00
2.70347357e-01, 3.42804104e-01, 3.49999988e-03, -3.89904877e+02, -4.98904437e-01, -1.14126432e+00
2.54969299e-01, 3.71057481e-01, 3.49999988e-03, -5.98521912e+02, 5.20130205e+00, -2.79436976e-01
2.59555727e-01, 3.23622167e-01, 3.49999988e-03, -4.86227051e+02, 2.68367252e+01, -2.89046884e+00
2.27747604e-01, 3.45203340e-01, 3.49999988e-03, 8.53922852e+02, 5.81651735e+00, -9.63284779e+00
2.69646943e-01, 3.65731299e-01, 3.49999988e-03, -4.16053741e+02, -6.73573077e-01, 1.95907843e+00
2.63427705e-01, 3.29155266e-01, 3.49999988e-03, -4.62743347e+02, 4.42181253e+00, -3.86262059e-01
2.81542689e-01, 3.61594617e-01, 3.49999988e-03, -3.91767731e+02, -1.60871840e+00, 2.27929211e+00
2.72948742e-01, 3.58362466e-01, 3.49999988e-03, -3.92219604e+02, -1.24477589e+00, 2.17168951e+00
2.02920020e-01, 3.33051503e-01, 3.49999988e-03, 4.35264557e+02, 3.12951412e+01, -5.49802685e+00
2.63123095e-01, 3.30503851e-01, 3.49999988e-03, -4.66021240e+02, 1.79442084e+00, -4.47845757e-01
2.71574557e-01, 3.47456813e-01, 3.49999988e-03, -3.77072662e+02, -2.66320437e-01, -5.24983108e-01
2.26574540e-01, 3.53124589e-01, 3.49999988e-03, 8.95877930e+02, 6.52356195e+00, 6.57588387e+00
2.73250550e-01, 3.59335810e-01, 3.49999988e-03, -3.94104309e+02, -1.35321105e+00, 2.33149099e+00
2.57501721e-01, 3.27497274e-01, 3.49999988e-03, -5.39429810e+02, 1.03355341e+01, -9.40761790e-02
2.65878975e-01, 3.26172829e-01, 3.49999988e-03, -4.37695251e+02, 1.31807852e+01, -9.83920574e-01
6.52559578e-01, 1.88107286e-02, 3.49999988e-03, -2.66038742e+01, 4.07920799e+01, 4.35604043e-02
2.77570635e-01, 3.56877506e-01, 3.49999988e-03, -3.87633789e+02, -2.02464008e+00, 1.94914305e+00
2.26602644e-01, 3.45838636e-01, 3.49999988e-03, 8.68604736e+02, 7.51621962e+00, -8.64254951e+00
2.68359929e-01, 3.65447044e-01, 3.49999988e-03, -4.20960663e+02, -9.11705256e-01, 1.74662530e+00
9.93400872e-01, 3.51041257e-01, 3.49999988e-03, 7.10620224e-01, 2.65825462e+01, -6.50045834e-03
