
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -2.60140586e+00, 1.42034724e-01, 3.88597474e-02
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -2.49349403e+00, 1.15602501e-01, -8.13847631e-02
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -2.50625944e+00, 1.00206219e-01, -7.45688155e-02
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -2.43899179e+00, 1.23574160e-01, -8.73598829e-02
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -2.47880387e+00, 9.98503193e-02, -7.57786706e-02
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -2.40086269e+00, 1.21967338e-01, -8.86883065e-02
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -2.45019460e+00, 9.58421528e-02, -7.52685294e-02
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, 1.36819088e+00, 4.53647852e-01, 3.46429229e-01
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, 1.46034229e+00, 4.17315602e-01, 3.30161721e-01
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 3.54185152e+00, 1.32854730e-01, -2.01942727e-01
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 3.48438191e+00, 1.28275007e-01, -1.91686690e-01
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -1.28224742e+00, 6.88917875e-01, 2.09564179e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -1.27320695e+00, 7.74144888e-01, 2.14375973e-01
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -2.53828621e+00, 5.12522943e-02, 4.82301041e-02
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -2.51493382e+00, 6.04031533e-02, 5.50790839e-02
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, 1.39107913e-01, 4.58523870e-01, -2.30634153e-01
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 1.20495653e+00, 1.79730296e+00, -5.75408161e-01
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -8.87163699e-01, 1.62206292e+00, -1.02494992e-01
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -1.40135229e+00, 1.12998271e+00, -1.53620765e-01
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -1.66627681e+00, 7.13865995e-01, 1.98163122e-01
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 1.04988480e+00, 1.33313107e+00, 7.79466987e-01
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -2.31029296e+00, 1.41008392e-01, 1.01266123e-01
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -8.23244274e-01, 4.35256183e-01, -1.30119771e-01
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 4.79066992e+00, 2.91995201e-02, -6.49776906e-02
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 4.81220198e+00, 2.48114709e-02, -6.17980510e-02
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 4.33835173e+00, 6.14091828e-02, -1.29001960e-01
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 4.29256058e+00, 5.97194843e-02, -1.25405297e-01
