
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -3.26432190e+01, 6.91120088e-01, 1.60710305e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -2.58307743e+01, 3.10761273e-01, -1.17397934e-01
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -2.57404823e+01, 2.46368527e-01, -9.39198360e-02
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -2.52779598e+01, 3.30838233e-01, -1.13330886e-01
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -2.53832264e+01, 2.37540707e-01, -8.40590596e-02
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -2.47790298e+01, 3.13646823e-01, -9.73507613e-02
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -2.49664021e+01, 2.14190677e-01, -6.75646067e-02
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, 6.48476183e-01, 3.31239891e+00, 2.58929110e+00
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, 1.76556802e+00, 3.07741284e+00, 2.48669720e+00
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 2.86149197e+01, 1.05777466e+00, -1.61406100e+00
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 2.76440468e+01, 1.02622807e+00, -1.54047525e+00
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -1.60606880e+01, 3.32327604e+00, 4.42981124e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -1.60937862e+01, 3.93239665e+00, 4.29537058e-01
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -2.51233082e+01, 6.97858781e-02, 1.55805489e-02
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -2.50009670e+01, 9.28142443e-02, 2.23866906e-02
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -1.40152950e+01, 3.28492427e+00, -1.72344112e+00
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 1.04273777e+01, 7.57378960e+00, -1.58942485e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -1.20623760e+01, 8.68188381e+00, 2.36756444e-01
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -1.82930298e+01, 6.39046431e+00, -4.18133289e-03
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -2.02081795e+01, 3.67024875e+00, 3.39060664e-01
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 6.44646454e+00, 7.03529835e+00, 3.72726727e+00
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -2.38406391e+01, 3.70457381e-01, 9.05623958e-02
