
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -2.55411129e+01, 5.97217083e-01, 1.41997159e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -2.04566345e+01, 2.93334007e-01, -1.28017128e-01
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -2.03954983e+01, 2.36673579e-01, -1.06867366e-01
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -2.00109444e+01, 3.12328994e-01, -1.27427086e-01
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -2.01115322e+01, 2.29649439e-01, -9.97254699e-02
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -1.96140404e+01, 2.98248827e-01, -1.15599096e-01
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -1.97810440e+01, 2.09745020e-01, -8.66994113e-02
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, 1.47537816e+00, 2.73650146e+00, 2.13560104e+00
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, 2.34470892e+00, 2.53925633e+00, 2.04881883e+00
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 2.31138000e+01, 8.65711689e-01, -1.32098889e+00
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 2.23803482e+01, 8.39254558e-01, -1.25962985e+00
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -1.24242334e+01, 2.84389973e+00, 4.28626239e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -1.24493637e+01, 3.34685063e+00, 4.19446260e-01
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -1.99456654e+01, 7.76707977e-02, 3.41418087e-02
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -1.98412170e+01, 9.96285677e-02, 4.24596220e-02
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -9.95062160e+00, 2.71534610e+00, -1.41905928e+00
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 8.36978817e+00, 6.61112928e+00, -1.43504620e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -9.34468651e+00, 7.42287350e+00, 1.61552370e-01
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -1.42249022e+01, 5.39531422e+00, -6.52981848e-02
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -1.57825766e+01, 3.12545276e+00, 3.43444437e-01
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 5.22933960e+00, 6.06120205e+00, 3.26817989e+00
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -1.88550568e+01, 3.49926919e-01, 1.15083709e-01
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -1.75577469e+01, 2.47551274e+00, -7.96234250e-01
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 3.66442757e+01, 1.97017014e-01, -4.33936119e-01
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 3.66912575e+01, 1.68273732e-01, -4.15979475e-01
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 3.15186310e+01, 4.08757776e-01, -8.58453453e-01
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 3.09144802e+01, 3.99265051e-01, -8.37957382e-01
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -2.31859989e+01, 1.58070540e+00, -1.96335822e-01
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -2.35271778e+01, 1.40193701e+00, -1.49235860e-01
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -2.50090847e+01, 1.29156065e+00, 2.89326962e-02
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -2.53160248e+01, 1.13630140e+00, 5.24285175e-02
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -2.40552883e+01, 1.43381405e+00, 8.15906301e-02
2.49690250e-01, 3.71678323e-01, 3.49999988e-03, -2.40061016e+01, 1.32295835e+00, 9.19003114e-02
2.17573375e-01, 3.07989866e-01, 3.49999988e-03, 6.33907843e+00, 6.67963934e+00, -2.26459861e+00
2.85152465e-01, 3.71849865e-01, 3.49999988e-03, -1.41006536e+01, 1.89297783e+00, -3.56721312e-01
2.30627552e-01, 3.05202305e-01, 3.49999988e-03, -1.90010518e-01, 7.42878580e+00, -2.52839208e+00
2.90271044e-01, 3.60522479e-01, 3.49999988e-03, -1.34056959e+01, 4.06858176e-01, -1.69831291e-01
2.80164719e-01, 3.54305744e-01, 3.49999988e-03, -1.50328283e+01, -5.54833524e-02, 4.43921564e-03
2.19507426e-01, 3.57373744e-01, 3.49999988e-03, 2.68906898e+01, 2.61364579e+00, 1.51262128e+00
2.71199197e-01, 3.31573874e-01, 3.49999988e-03, -1.80572147e+01, 8.27814102e-01, 2.21730530e-01
2.65724510e-01, 3.72013777e-01, 3.49999988e-03, -2.01665840e+01, 1.47828043e+00, -3.32037807e-01
2.29250818e-01, 3.35905313e-01, 3.49999988e-03, 1.64264317e+01, 2.47675490e+00, -2.70775819e+00
2.74949193e-01, 3.40164900e-01, 3.49999988e-03, -1.62985535e+01, 6.88032284e-02, -1.80650037e-02
2.41035432e-01, 3.73794675e-01, 3.49999988e-03, -1.25929260e+01, 4.25680256e+00, 1.84636009e+00
2.68660724e-01, 3.34149688e-01, 3.49999988e-03, -1.92447987e+01, 3.09168965e-01, 1.10795647e-01
2.71433324e-01, 3.55509847e-01, 3.49999988e-03, -1.61227570e+01, -2.13879943e-02, 5.45700490e-02
2.65049905e-01, 3.66360754e-01, 3.49999988e-03, -2.13849945e+01, 2.20075846e-01, -1.11729272e-01
2.32290149e-01, 3.62280309e-01, 3.49999988e-03, 1.78791637e+01, 9.05317605e-01, 1.19528162e+00
2.36904576e-01, 3.32802802e-01, 3.49999988e-03, -5.30245423e-01, 1.47717083e+00, -1.11239886e+00
2.38766909e-01, 3.31582099e-01, 3.49999988e-03, -6.11072636e+00, 1.55584610e+00, -9.64458466e-01
2.43490577e-01, 3.71544540e-01, 3.49999988e-03, -1.68227501e+01, 2.33996320e+00, 8.06216538e-01
2.70347357e-01, 3.42804104e-01, 3.49999988e-03, -1.67130566e+01, -1.82261225e-02, -5.01459651e-02
2.54969299e-01, 3.71057481e-01, 3.49999988e-03, -2.57240410e+01, 8.51239145e-01, -1.28073052e-01
2.59555727e-01, 3.23622167e-01, 3.49999988e-03, -2.07962570e+01, 3.19557476e+00, 1.43398032e-01
2.27747604e-01, 3.45203340e-01, 3.49999988e-03, 3.36981735e+01, 4.86488014e-01, -8.68601799e-01
2.69646943e-01, 3.65731299e-01, 3.49999988e-03, -1.87439499e+01, 3.59765500e-01, -1.16938271e-01
2.63427705e-01, 3.29155266e-01, 3.49999988e-03, -2.15986462e+01, 1.10062599e+00, 3.00105035e-01
2.81542689e-01, 3.61594617e-01, 3.49999988e-03, -1.49975605e+01, 3.16809297e-01, -1.02517284e-01
2.72948742e-01, 3.58362466e-01, 3.49999988e-03, -1.65264626e+01, -1.47566211e-03, 5.54710664e-02
2.02920020e-01, 3.33051503e-01, 3.49999988e-03, 1.80850353e+01, 5.03457212e+00, -1.24592900e+00
2.63123095e-01, 3.30503851e-01, 3.49999988e-03, -2.21254673e+01, 7.19742835e-01, 2.44872183e-01
2.71574557e-01, 3.47456813e-01, 3.49999988e-03, -1.55237942e+01, -1.40327588e-02, -2.71353144e-02
2.26574540e-01, 3.53124589e-01, 3.49999988e-03, 3.43870354e+01, 5.72156250e-01, 6.57707393e-01
