
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -3.46575195e+02, 2.35383892e+00, 3.41408402e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -2.63438629e+02, -1.67444766e-01, 7.67876148e-01
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -2.62290863e+02, -3.24570507e-01, 8.07596982e-01
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -2.59976074e+02, -1.61890835e-01, 8.83482814e-01
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -2.59908447e+02, -3.69327366e-01, 8.87234867e-01
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -2.56701202e+02, -2.37871811e-01, 1.00254583e+00
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -2.57135559e+02, -4.43361700e-01, 9.81449664e-01
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, -8.91405106e+01, 2.02744923e+01, 1.59039164e+01
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, -7.60451660e+01, 1.91650524e+01, 1.55362930e+01
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 2.76112305e+02, 7.22092485e+00, -1.09225655e+01
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 2.60410278e+02, 7.09863281e+00, -1.05903950e+01
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -2.20526627e+02, 1.42725973e+01, -5.24971724e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -2.19164993e+02, 1.81340466e+01, -6.86348855e-01
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -2.56184174e+02, -5.64118028e-01, -8.39483023e-01
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -2.55738678e+02, -5.83968639e-01, -9.15748775e-01
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -2.70510925e+02, 2.05710621e+01, -1.11806755e+01
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 1.07121048e+02, 2.86579590e+01, -4.84974146e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -1.63387344e+02, 3.62758102e+01, 2.56807661e+00
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -2.17061951e+02, 3.20420303e+01, 3.08514166e+00
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -2.35286987e+02, 1.70529671e+01, -1.04308295e+00
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 7.09404984e+01, 2.77229843e+01, 1.21338806e+01
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -2.51088043e+02, -1.42679095e-01, -1.21610498e+00
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -3.63028900e+02, 1.82524891e+01, -6.42832947e+00
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 5.27519958e+02, 1.72264647e+00, -3.66263056e+00
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 5.25518250e+02, 1.49188292e+00, -3.59439540e+00
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 4.28989960e+02, 3.51166511e+00, -7.27381992e+00
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 4.15911713e+02, 3.47391224e+00, -7.19815636e+00
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -4.01808350e+02, 1.06495991e+01, -1.75055671e+00
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -4.03408844e+02, 9.31092358e+00, -1.34779751e+00
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -3.85253540e+02, 7.53952885e+00, -2.57282943e-01
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -3.83987610e+02, 6.42177439e+00, -5.52869886e-02
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -3.97651001e+02, 9.10302067e+00, 9.30269599e-01
2.49690250e-01, 3.71678323e-01, 3.49999988e-03, -4.01358521e+02, 8.48931122e+00, 9.32964325e-01
2.17573375e-01, 3.07989866e-01, 3.49999988e-03, 8.17834778e+01, 2.89050388e+01, -7.66068649e+00
2.85152465e-01, 3.71849865e-01, 3.49999988e-03, -2.28891495e+02, 7.56679344e+00, 8.79329622e-01
2.30627552e-01, 3.05202305e-01, 3.49999988e-03, -5.12417269e+00, 3.15509167e+01, -8.66659832e+00
2.90271044e-01, 3.60522479e-01, 3.49999988e-03, -2.25111862e+02, -1.52551413e+00, 9.13419724e-01
2.80164719e-01, 3.54305744e-01, 3.49999988e-03, -2.26200836e+02, -1.95421922e+00, 8.65036666e-01
2.19507426e-01, 3.57373744e-01, 3.49999988e-03, 4.05920898e+02, 1.47123413e+01, 6.28995752e+00
2.71199197e-01, 3.31573874e-01, 3.49999988e-03, -2.47209854e+02, 1.78444779e+00, -1.06220722e+00
2.65724510e-01, 3.72013777e-01, 3.49999988e-03, -2.69213776e+02, 5.88699770e+00, 2.24965453e-01
2.29250818e-01, 3.35905313e-01, 3.49999988e-03, 2.04131332e+02, 1.63827190e+01, -1.68973484e+01
2.74949193e-01, 3.40164900e-01, 3.49999988e-03, -2.33035828e+02, -1.01541710e+00, -1.72184968e+00
2.41035432e-01, 3.73794675e-01, 3.49999988e-03, -2.73226013e+02, 2.88708286e+01, 1.32533140e+01
2.68660724e-01, 3.34149688e-01, 3.49999988e-03, -2.53698227e+02, -2.37167358e-01, -1.11414504e+00
2.71433324e-01, 3.55509847e-01, 3.49999988e-03, -2.26871429e+02, -3.70552570e-01, 8.44939172e-01
2.65049905e-01, 3.66360754e-01, 3.49999988e-03, -2.70570313e+02, -2.32651830e-01, 5.53314984e-01
2.32290149e-01, 3.62280309e-01, 3.49999988e-03, 1.73932785e+02, 7.76618767e+00, 1.02506304e+01
2.36904576e-01, 3.32802802e-01, 3.49999988e-03, -1.43865341e+02, 1.22791901e+01, -9.37352276e+00
2.38766909e-01, 3.31582099e-01, 3.49999988e-03, -2.29528870e+02, 1.27613344e+01, -8.07352829e+00
2.43490577e-01, 3.71544540e-01, 3.49999988e-03, -3.59184906e+02, 1.74691620e+01, 6.53378057e+00
2.70347357e-01, 3.42804104e-01, 3.49999988e-03, -2.30993652e+02, -3.55180889e-01, -8.15808117e-01
2.54969299e-01, 3.71057481e-01, 3.49999988e-03, -3.64920654e+02, 4.05120802e+00, -3.19067806e-01
2.59555727e-01, 3.23622167e-01, 3.49999988e-03, -2.95807983e+02, 1.90532074e+01, -1.57702208e+00
2.27747604e-01, 3.45203340e-01, 3.49999988e-03, 4.90252808e+02, 3.95442986e+00, -6.66552925e+00
