
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -2.12887817e+03, 4.12923241e+00, -7.85084069e-02
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -1.75587830e+03, -2.93057251e+00, 3.41885543e+00
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -1.75229590e+03, -3.02209878e+00, 3.42113042e+00
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -1.74602808e+03, -2.98604107e+00, 3.71525478e+00
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -1.74567566e+03, -3.07806969e+00, 3.59875536e+00
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -1.73687756e+03, -3.07256794e+00, 3.97363186e+00
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -1.73803223e+03, -3.12774944e+00, 3.79104424e+00
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, -8.04566833e+02, 6.83365936e+01, 5.23151550e+01
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, -7.25347900e+02, 6.58817062e+01, 5.23416290e+01
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 1.66866785e+03, 2.72388344e+01, -4.03845444e+01
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 1.54546997e+03, 2.72798100e+01, -4.00150490e+01
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -1.65746497e+03, 4.04167633e+01, -2.92742944e+00
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -1.63672937e+03, 5.56097260e+01, -3.84466958e+00
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -1.73195703e+03, -2.47795916e+00, -2.97195816e+00
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -1.73123877e+03, -2.69729543e+00, -3.25171542e+00
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -2.08224951e+03, 7.46981506e+01, -4.06851044e+01
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 6.37474609e+02, 7.66341248e+01, -1.19063683e+01
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -1.18611914e+03, 9.75493317e+01, 7.50311184e+00
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -1.50420959e+03, 9.64571686e+01, 1.18096466e+01
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -1.66795044e+03, 5.43796577e+01, -5.70657444e+00
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 4.35913330e+02, 7.44090881e+01, 2.95490456e+01
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -1.71938379e+03, -2.82167697e+00, -4.32371521e+00
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -2.63624414e+03, 6.83979340e+01, -2.52208405e+01
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 3.50350781e+03, 6.85765648e+00, -1.39409018e+01
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 3.48135596e+03, 6.04268026e+00, -1.40926962e+01
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 2.77060938e+03, 1.37174206e+01, -2.77647476e+01
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 2.66779565e+03, 1.37542543e+01, -2.79693661e+01
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -2.72738403e+03, 3.84937782e+01, -7.59860563e+00
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -2.72387183e+03, 3.31239281e+01, -5.91389036e+00
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -2.46968188e+03, 2.39140511e+01, -2.16923475e+00
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -2.44499536e+03, 1.94836426e+01, -1.29467964e+00
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -2.62308081e+03, 3.11711102e+01, 4.49048615e+00
2.49690250e-01, 3.71678323e-01, 3.49999988e-03, -2.66369971e+03, 2.91665497e+01, 4.31874037e+00
2.17573375e-01, 3.07989866e-01, 3.49999988e-03, 4.83475769e+02, 7.71869202e+01, -1.87469540e+01
2.85152465e-01, 3.71849865e-01, 3.49999988e-03, -1.68454968e+03, 1.59916143e+01, 3.53612232e+00
2.30627552e-01, 3.05202305e-01, 3.49999988e-03, -6.41234894e+01, 8.35306473e+01, -2.11593151e+01
2.90271044e-01, 3.60522479e-01, 3.49999988e-03, -1.68512939e+03, -6.08923864e+00, 2.41302395e+00
2.80164719e-01, 3.54305744e-01, 3.49999988e-03, -1.65816077e+03, -5.50103045e+00, 2.24132967e+00
2.19507426e-01, 3.57373744e-01, 3.49999988e-03, 2.65859619e+03, 4.22812614e+01, 1.56038790e+01
2.71199197e-01, 3.31573874e-01, 3.49999988e-03, -1.70676794e+03, 8.89037907e-01, -3.97032428e+00
2.65724510e-01, 3.72013777e-01, 3.49999988e-03, -1.77746838e+03, 1.33866739e+01, 2.70086670e+00
2.29250818e-01, 3.35905313e-01, 3.49999988e-03, 1.30943262e+03, 4.94601135e+01, -4.69786682e+01
2.74949193e-01, 3.40164900e-01, 3.49999988e-03, -1.67387585e+03, -3.40385509e+00, -4.97035599e+00
2.41035432e-01, 3.73794675e-01, 3.49999988e-03, -1.86569543e+03, 9.11422958e+01, 4.11503448e+01
