
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -8.18284363e+02, 3.11791229e+00, 2.28032112e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -6.37098877e+02, -1.21574581e+00, 1.82570410e+00
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -6.34945801e+02, -1.35731924e+00, 1.84771574e+00
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -6.31235901e+02, -1.24288487e+00, 2.02359772e+00
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -6.30871704e+02, -1.41422510e+00, 1.97061002e+00
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -6.25614441e+02, -1.33524811e+00, 2.20382333e+00
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -6.26205383e+02, -1.48800004e+00, 2.10607600e+00
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, -2.56725555e+02, 3.84147110e+01, 2.99045277e+01
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, -2.24669235e+02, 3.66604919e+01, 2.95282536e+01
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 7.14104797e+02, 1.44644337e+01, -2.17152061e+01
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 6.68861938e+02, 1.43346529e+01, -2.12632084e+01
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -5.85705322e+02, 2.24779625e+01, -2.19670510e+00
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -5.80167725e+02, 3.00654583e+01, -2.60859203e+00
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -6.23797363e+02, -1.31737018e+00, -1.69207680e+00
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -6.23257507e+02, -1.41706467e+00, -1.85452688e+00
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -7.41810913e+02, 4.01090088e+01, -2.19920788e+01
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 2.83282928e+02, 4.76541710e+01, -7.83637857e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -4.44396881e+02, 6.06161575e+01, 5.68028069e+00
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -5.46625061e+02, 5.63792572e+01, 7.28868866e+00
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -5.90855164e+02, 2.91801033e+01, -3.13048029e+00
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 2.04260101e+02, 4.60288734e+01, 1.92279396e+01
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -6.16125122e+02, -1.21684909e+00, -2.52188373e+00
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -9.62655334e+02, 3.56993637e+01, -1.29995422e+01
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 1.41217297e+03, 3.54140735e+00, -7.38207531e+00
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 1.40490796e+03, 3.09129906e+00, -7.34379196e+00
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 1.13509070e+03, 7.14998674e+00, -1.46710882e+01
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 1.09747522e+03, 7.11589956e+00, -1.46312914e+01
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -1.02136566e+03, 2.01121006e+01, -3.69601154e+00
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -1.02215533e+03, 1.74255981e+01, -2.85814643e+00
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -9.42771057e+02, 1.32166882e+01, -8.55077267e-01
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -9.35732056e+02, 1.10118332e+01, -4.34730679e-01
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -9.93497314e+02, 1.66649551e+01, 2.09389162e+00
2.49690250e-01, 3.71678323e-01, 3.49999988e-03, -1.00700635e+03, 1.55861235e+01, 2.04394984e+00
2.17573375e-01, 3.07989866e-01, 3.49999988e-03, 2.23287018e+02, 4.79303131e+01, -1.22794962e+01
2.85152465e-01, 3.71849865e-01, 3.49999988e-03, -5.90385193e+02, 1.03011141e+01, 2.42472839e+00
2.30627552e-01, 3.05202305e-01, 3.49999988e-03, 2.75887609e+00, 5.19884758e+01, -1.39266310e+01
2.90271044e-01, 3.60522479e-01, 3.49999988e-03, -5.87401123e+02, -3.71153355e+00, 2.08207536e+00
2.80164719e-01, 3.54305744e-01, 3.49999988e-03, -5.77754150e+02, -3.48387241e+00, 1.54689467e+00
2.19507426e-01, 3.57373744e-01, 3.49999988e-03, 1.08616553e+03, 2.54752502e+01, 1.00262680e+01
2.71199197e-01, 3.31573874e-01, 3.49999988e-03, -6.09474243e+02, 1.36503708e+00, -2.38871264e+00
