
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -6.87265686e+02, 2.98286200e+00, 2.74978638e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -5.31594666e+02, -9.32340980e-01, 1.56172490e+00
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -5.29673828e+02, -1.08386862e+00, 1.58965933e+00
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -5.26295898e+02, -9.50934887e-01, 1.74154162e+00
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -5.26000122e+02, -1.13960314e+00, 1.70341098e+00
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -5.21235901e+02, -1.04222727e+00, 1.90960360e+00
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -5.21739136e+02, -1.21681988e+00, 1.83081377e+00
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, -2.09460800e+02, 3.37889442e+01, 2.63571758e+01
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, -1.83054169e+02, 3.21797523e+01, 2.59601078e+01
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 5.85281128e+02, 1.25651560e+01, -1.88995342e+01
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 5.48830994e+02, 1.24308128e+01, -1.84649220e+01
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -4.80964783e+02, 2.06056042e+01, -1.77146149e+00
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -4.76635712e+02, 2.72242508e+01, -2.10399890e+00
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -5.19722900e+02, -1.13000858e+00, -1.48685300e+00
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -5.19191833e+02, -1.20870960e+00, -1.62897789e+00
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -6.05255188e+02, 3.50295067e+01, -1.91818371e+01
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 2.31100632e+02, 4.29174919e+01, -7.08406210e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -3.62715515e+02, 5.45753632e+01, 4.82988167e+00
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -4.52854767e+02, 5.03321228e+01, 6.17502213e+00
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -4.89665771e+02, 2.61995296e+01, -2.57998466e+00
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 1.63308716e+02, 4.14806061e+01, 1.74691868e+01
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -5.12659363e+02, -9.31653261e-01, -2.20952272e+00
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -7.89805908e+02, 3.11270676e+01, -1.12587032e+01
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 1.15111316e+03, 3.05893898e+00, -6.40236902e+00
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 1.14547766e+03, 2.66534328e+00, -6.34986830e+00
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 9.27150757e+02, 6.18791008e+00, -1.27268095e+01
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 8.96856934e+02, 6.15056992e+00, -1.26710167e+01
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -8.45076294e+02, 1.76631165e+01, -3.16991472e+00
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -8.46299011e+02, 1.53362684e+01, -2.44931293e+00
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -7.86321655e+02, 1.18045740e+01, -6.81816638e-01
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -7.81069092e+02, 9.88775349e+00, -3.19898844e-01
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -8.25409058e+02, 1.47396221e+01, 1.77491903e+00
2.49690250e-01, 3.71678323e-01, 3.49999988e-03, -8.35886108e+02, 1.37782927e+01, 1.74144804e+00
2.17573375e-01, 3.07989866e-01, 3.49999988e-03, 1.80769958e+02, 4.31935234e+01, -1.11222639e+01
2.85152465e-01, 3.71849865e-01, 3.49999988e-03, -4.87346649e+02, 9.78635883e+00, 2.05365968e+00
2.30627552e-01, 3.05202305e-01, 3.49999988e-03, -1.10953546e+00, 4.69084282e+01, -1.26050224e+01
2.90271044e-01, 3.60522479e-01, 3.49999988e-03, -4.83903168e+02, -3.19033217e+00, 1.81014860e+00
2.80164719e-01, 3.54305744e-01, 3.49999988e-03, -4.77360565e+02, -3.13528824e+00, 1.39480400e+00
