
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -1.71031113e+02, 1.71055794e+00, 3.10065567e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -1.29561661e+02, 2.00527430e-01, 2.75801450e-01
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -1.28939453e+02, 6.74986467e-02, 3.15042853e-01
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -1.27460014e+02, 2.18477458e-01, 3.39900166e-01
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -1.27497841e+02, 3.64834294e-02, 3.64447087e-01
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -1.25477943e+02, 1.64398730e-01, 4.14858341e-01
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -1.25818932e+02, -2.16970518e-02, 4.26797748e-01
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, -3.26582184e+01, 1.18706493e+01, 9.32881927e+00
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, -2.63200607e+01, 1.11494818e+01, 9.05314922e+00
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 1.33661758e+02, 4.07277346e+00, -6.18547916e+00
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 1.26955933e+02, 3.98234558e+00, -5.96005630e+00
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -9.86317062e+01, 9.41082954e+00, 1.34899825e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -9.83156357e+01, 1.16297541e+01, 5.44345491e-02
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -1.25526794e+02, -2.12636203e-01, -4.01762724e-01
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -1.25233414e+02, -2.02384710e-01, -4.34990555e-01
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -1.16003090e+02, 1.18782072e+01, -6.39155388e+00
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 5.09138832e+01, 1.91013412e+01, -3.37570310e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -7.27674789e+01, 2.38761997e+01, 1.35262012e+00
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -1.02520378e+02, 1.99212532e+01, 1.36959457e+00
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -1.11469391e+02, 1.08323278e+01, -2.05094278e-01
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 3.22621803e+01, 1.84417992e+01, 8.50065708e+00
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -1.22008179e+02, 2.48931557e-01, -5.39424479e-01
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -1.62079407e+02, 1.05771990e+01, -3.62890959e+00
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 2.44969376e+02, 9.56303000e-01, -2.06024480e+00
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 2.44362411e+02, 8.24045360e-01, -2.00453019e+00
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 2.01736725e+02, 1.96112537e+00, -4.08526516e+00
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 1.96134964e+02, 1.93150473e+00, -4.02221060e+00
