
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -9.04956360e+01, 1.23056901e+00, 2.52333641e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -6.91293411e+01, 3.18302870e-01, 3.29161584e-02
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -6.88027191e+01, 2.13818029e-01, 6.67810589e-02
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -6.78372726e+01, 3.40148926e-01, 6.47542849e-02
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -6.79325256e+01, 1.93611726e-01, 9.59249586e-02
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -6.66392212e+01, 3.03776294e-01, 1.09592363e-01
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -6.69174957e+01, 1.50933594e-01, 1.35529116e-01
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, -1.07080307e+01, 7.28811312e+00, 5.72273540e+00
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, -7.48985720e+00, 6.81239557e+00, 5.52691841e+00
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 7.21912994e+01, 2.42691350e+00, -3.69629359e+00
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 6.90258255e+01, 2.36438346e+00, -3.54576182e+00
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -4.82946396e+01, 6.34253883e+00, 3.83411080e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -4.82778854e+01, 7.69143867e+00, 3.39915544e-01
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -6.69078674e+01, -3.90103757e-02, -1.62298635e-01
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -6.66869507e+01, -1.76898334e-02, -1.72187045e-01
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -5.29797478e+01, 7.24476528e+00, -3.86178303e+00
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 2.70272980e+01, 1.33441334e+01, -2.48997545e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -3.58961258e+01, 1.63089638e+01, 7.42633164e-01
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -5.25269966e+01, 1.28980961e+01, 5.56077123e-01
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -5.73473816e+01, 7.15652847e+00, 1.59730017e-01
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 1.66617661e+01, 1.27984104e+01, 6.22940779e+00
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -6.44876251e+01, 3.78801167e-01, -1.71196789e-01
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -7.79356461e+01, 6.49151993e+00, -2.17791605e+00
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 1.26445267e+02, 5.63515604e-01, -1.22540426e+00
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 1.26292763e+02, 4.83824819e-01, -1.18496907e+00
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 1.05529663e+02, 1.16044664e+00, -2.42667294e+00
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 1.02894096e+02, 1.13906145e+00, -2.38057828e+00
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -9.31045380e+01, 3.97930169e+00, -5.60923874e-01
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -9.39489670e+01, 3.51072216e+00, -4.29016918e-01
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -9.45754013e+01, 3.06664348e+00, -4.37865267e-04
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -9.50092697e+01, 2.66701150e+00, 6.56365901e-02
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -9.42360458e+01, 3.52436423e+00, 2.65114129e-01
2.49690250e-01, 3.71678323e-01, 3.49999988e-03, -9.45586243e+01, 3.26905894e+00, 2.80289561e-01
2.17573375e-01, 3.07989866e-01, 3.49999988e-03, 2.02710915e+01, 1.34928331e+01, -3.95259666e+00
2.85152465e-01, 3.71849865e-01, 3.49999988e-03, -5.28056412e+01, 3.87085176e+00, -1.95982933e-01
2.30627552e-01, 3.05202305e-01, 3.49999988e-03, -1.75623548e+00, 1.48932457e+01, -4.47389889e+00
2.90271044e-01, 3.60522479e-01, 3.49999988e-03, -5.07532654e+01, 8.88343751e-02, 1.05622709e-02
2.80164719e-01, 3.54305744e-01, 3.49999988e-03, -5.39337196e+01, -5.42998612e-01, 2.20515385e-01
2.19507426e-01, 3.57373744e-01, 3.49999988e-03, 9.58767929e+01, 6.17928934e+00, 3.09945750e+00
2.71199197e-01, 3.31573874e-01, 3.49999988e-03, -6.27509384e+01, 1.37132299e+00, -2.46040020e-02
2.65724510e-01, 3.72013777e-01, 3.49999988e-03, -7.00202484e+01, 2.98808026e+00, -3.23325276e-01
2.29250818e-01, 3.35905313e-01, 3.49999988e-03, 5.10047874e+01, 6.33644485e+00, -6.80612516e+00
2.74949193e-01, 3.40164900e-01, 3.49999988e-03, -5.71089897e+01, -1.75385997e-01, -4.46736366e-01
2.41035432e-01, 3.73794675e-01, 3.49999988e-03, -5.90853577e+01, 1.08848009e+01, 4.88048458e+00
2.68660724e-01, 3.34149688e-01, 3.49999988e-03, -6.55437164e+01, 3.11309874e-01, -1.48332909e-01
2.71433324e-01, 3.55509847e-01, 3.49999988e-03, -5.55188560e+01, -1.14779644e-01, 2.67054915e-01
2.65049905e-01, 3.66360754e-01, 3.49999988e-03, -7.17914047e+01, 2.18856707e-01, -5.47095248e-03
2.32290149e-01, 3.62280309e-01, 3.49999988e-03, 5.07327881e+01, 2.55991864e+00, 3.38462901e+00
2.36904576e-01, 3.32802802e-01, 3.49999988e-03, -2.02896709e+01, 4.10109854e+00, -3.11071801e+00
2.38766909e-01, 3.31582099e-01, 3.49999988e-03, -4.06404076e+01, 4.28504801e+00, -2.68424129e+00
2.43490577e-01, 3.71544540e-01, 3.49999988e-03, -7.60039215e+01, 6.16760397e+00, 2.20678496e+00
2.70347357e-01, 3.42804104e-01, 3.49999988e-03, -5.71287003e+01, -1.07783288e-01, -2.54973859e-01
2.54969299e-01, 3.71057481e-01, 3.49999988e-03, -9.31971588e+01, 1.87584829e+00, -2.31716916e-01
2.59555727e-01, 3.23622167e-01, 3.49999988e-03, -7.55118408e+01, 7.53885698e+00, -1.13960467e-01
2.27747604e-01, 3.45203340e-01, 3.49999988e-03, 1.16733734e+02, 1.35438311e+00, -2.36796403e+00
2.69646943e-01, 3.65731299e-01, 3.49999988e-03, -6.41542816e+01, 3.94712478e-01, 1.77655533e-01
2.63427705e-01, 3.29155266e-01, 3.49999988e-03, -7.45146790e+01, 2.11914063e+00, 3.43569368e-01
2.81542689e-01, 3.61594617e-01, 3.49999988e-03, -5.45150032e+01, 1.36990324e-01, 2.59349674e-01
2.72948742e-01, 3.58362466e-01, 3.49999988e-03, -5.72692909e+01, -2.12991357e-01, 4.40274149e-01
2.02920020e-01, 3.33051503e-01, 3.49999988e-03, 6.16278763e+01, 1.05947199e+01, -2.18933392e+00
2.63123095e-01, 3.30503851e-01, 3.49999988e-03, -7.56868896e+01, 1.26377177e+00, 2.69021809e-01
2.71574557e-01, 3.47456813e-01, 3.49999988e-03, -5.36499672e+01, -6.18193559e-02, -1.20432794e-01
2.26574540e-01, 3.53124589e-01, 3.49999988e-03, 1.20866982e+02, 1.56996155e+00, 1.73707092e+00
2.73250550e-01, 3.59335810e-01, 3.49999988e-03, -5.76819992e+01, -1.96761802e-01, 4.52886939e-01
2.57501721e-01, 3.27497274e-01, 3.49999988e-03, -8.51976166e+01, 3.46929264e+00, 3.29918861e-01
2.65878975e-01, 3.26172829e-01, 3.49999988e-03, -6.86767044e+01, 4.50544405e+00, 3.12019944e-01
6.52559578e-01, 1.88107286e-02, 3.49999988e-03, -1.99340391e+00, 1.42976151e+01, 9.44726914e-03
2.77570635e-01, 3.56877506e-01, 3.49999988e-03, -5.51703644e+01, -3.51114124e-01, 3.65206927e-01
2.26602644e-01, 3.45838636e-01, 3.49999988e-03, 1.17280624e+02, 1.83832908e+00, -2.32654905e+00
2.68359929e-01, 3.65447044e-01, 3.49999988e-03, -6.56618500e+01, 2.16021866e-01, 1.63524777e-01
9.93400872e-01, 3.51041257e-01, 3.49999988e-03, 6.79935589e-02, 1.03625793e+01, -2.43890355e-03
2.79782891e-01, 4.05653566e-01, 3.49999988e-03, -3.51451950e+01, 1.70460587e+01, 1.56095135e+00
2.67969161e-01, 3.64793926e-01, 3.49999988e-03, -6.59887314e+01, 8.65052789e-02, 1.78385571e-01
2.67701030e-01, 3.36016715e-01, 3.49999988e-03, -6.60500641e+01, -1.73979327e-02, -1.94326162e-01
9.79667842e-01, 3.82926241e-02, 3.49999988e-03, -7.47051463e-02, 1.43462019e+01, 8.91199429e-03
