
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -7.67384529e-01, 6.41306117e-02, 1.84048396e-02
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -8.58651996e-01, 6.11042790e-02, -4.68402803e-02
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -8.68605793e-01, 5.37456125e-02, -4.33692634e-02
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -8.42136264e-01, 6.54716641e-02, -5.08477949e-02
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -8.62576246e-01, 5.38789816e-02, -4.45287451e-02
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -8.33768129e-01, 6.51482046e-02, -5.23236990e-02
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -8.57663393e-01, 5.22436500e-02, -4.48390543e-02
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, 7.00606823e-01, 1.73291773e-01, 1.30499929e-01
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, 7.30630755e-01, 1.58886492e-01, 1.24134444e-01
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 1.38969517e+00, 4.89687249e-02, -7.41595030e-02
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 1.37399173e+00, 4.72522527e-02, -7.03578666e-02
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -4.10285413e-01, 3.29967082e-01, 1.22302167e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -4.04582560e-01, 3.63620520e-01, 1.26592100e-01
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -9.05510247e-01, 2.94547733e-02, 2.96028927e-02
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -8.95268619e-01, 3.43597643e-02, 3.36789675e-02
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, 3.00576270e-01, 1.77984655e-01, -8.76493007e-02
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 4.66745675e-01, 8.37310255e-01, -3.13461781e-01
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -2.47964263e-01, 7.14516163e-01, -9.25471857e-02
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -4.10768867e-01, 5.00137985e-01, -1.04654029e-01
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -5.23480654e-01, 3.28840286e-01, 1.17835283e-01
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 4.95243549e-01, 5.51112115e-01, 3.20013702e-01
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -8.07489395e-01, 7.52802268e-02, 6.07208535e-02
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -3.33996713e-02, 1.72884732e-01, -4.97811511e-02
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 1.76730478e+00, 1.06138233e-02, -2.36147959e-02
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 1.77654994e+00, 9.01159737e-03, -2.24258695e-02
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 1.63399172e+00, 2.24392042e-02, -4.70283888e-02
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 1.62180257e+00, 2.18047518e-02, -4.56922092e-02
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -3.58782709e-01, 1.21407859e-01, -1.10918591e-02
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -3.78613174e-01, 1.08611405e-01, -8.27795733e-03
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -5.57474613e-01, 1.11110106e-01, 7.05406349e-03
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -5.85251689e-01, 9.94634628e-02, 8.43736064e-03
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -4.38045651e-01, 1.15565464e-01, 2.37935362e-03
2.49690250e-01, 3.71678323e-01, 3.49999988e-03, -4.24040824e-01, 1.05155148e-01, 3.95677378e-03
2.17573375e-01, 3.07989866e-01, 3.49999988e-03, 4.13708150e-01, 7.66310751e-01, -3.51987690e-01
2.85152465e-01, 3.71849865e-01, 3.49999988e-03, -5.07601798e-01, 2.47389600e-01, -1.14618741e-01
2.30627552e-01, 3.05202305e-01, 3.49999988e-03, 2.01337308e-01, 8.10043156e-01, -3.07215393e-01
2.90271044e-01, 3.60522479e-01, 3.49999988e-03, -5.18050134e-01, 1.38292000e-01, -6.23406917e-02
2.80164719e-01, 3.54305744e-01, 3.49999988e-03, -6.86774075e-01, 4.43703197e-02, -2.40573809e-02
2.19507426e-01, 3.57373744e-01, 3.49999988e-03, 1.19946110e+00, 1.83914602e-01, 1.28491446e-01
2.71199197e-01, 3.31573874e-01, 3.49999988e-03, -7.22017467e-01, 1.31359190e-01, 8.47605839e-02
2.65724510e-01, 3.72013777e-01, 3.49999988e-03, -7.16656566e-01, 1.80255219e-01, -8.05116668e-02
