
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -5.40815449e+00, 2.27674842e-01, 6.00788109e-02
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -4.82535076e+00, 1.63959697e-01, -1.06434278e-01
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -4.83467484e+00, 1.40217185e-01, -9.64128003e-02
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -4.71740961e+00, 1.75004393e-01, -1.12998791e-01
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -4.77469540e+00, 1.38980478e-01, -9.69221517e-02
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -4.63244104e+00, 1.71524629e-01, -1.13094471e-01
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -4.70726728e+00, 1.32163674e-01, -9.48382914e-02
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, 1.88672435e+00, 8.08861852e-01, 6.22530580e-01
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, 2.07245708e+00, 7.45831966e-01, 5.94251156e-01
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 6.33551407e+00, 2.42472887e-01, -3.69264066e-01
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 6.20747519e+00, 2.34301403e-01, -3.50811094e-01
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -2.59957480e+00, 1.07819951e+00, 2.78307796e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -2.59125137e+00, 1.22811329e+00, 2.81900197e-01
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -4.82866192e+00, 6.68876395e-02, 5.84526174e-02
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -4.79040861e+00, 7.97072724e-02, 6.70932457e-02
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -5.81304133e-01, 8.11178148e-01, -4.13178980e-01
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 2.19916558e+00, 2.76268053e+00, -7.78181434e-01
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -1.88823450e+00, 2.65931344e+00, -7.75788948e-02
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -2.93553686e+00, 1.85681486e+00, -1.72746956e-01
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -3.39065623e+00, 1.14169979e+00, 2.56424189e-01
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 1.68376005e+00, 2.21683359e+00, 1.28438151e+00
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -4.45032597e+00, 1.98509350e-01, 1.26808167e-01
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -2.42780399e+00, 7.59638488e-01, -2.32376039e-01
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 8.96476746e+00, 5.38285263e-02, -1.19600236e-01
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 8.99808502e+00, 4.57893126e-02, -1.13938034e-01
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 7.99555635e+00, 1.12833060e-01, -2.37075478e-01
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 7.89212894e+00, 1.09827794e-01, -2.30662152e-01
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -4.02423573e+00, 5.07139683e-01, -5.47677279e-02
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -4.12331915e+00, 4.51757044e-01, -4.13175561e-02
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -4.79211235e+00, 4.38320875e-01, 1.88886896e-02
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -4.90627050e+00, 3.89157206e-01, 2.55392864e-02
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -4.35332870e+00, 4.70840871e-01, 1.83783285e-02
2.49690250e-01, 3.71678323e-01, 3.49999988e-03, -4.30700159e+00, 4.31633443e-01, 2.32163128e-02
2.17573375e-01, 3.07989866e-01, 3.49999988e-03, 1.70956516e+00, 2.72582126e+00, -1.12208784e+00
2.85152465e-01, 3.71849865e-01, 3.49999988e-03, -3.05874228e+00, 7.69938648e-01, -2.54280895e-01
2.30627552e-01, 3.05202305e-01, 3.49999988e-03, 2.43165866e-01, 2.97232628e+00, -1.13161182e+00
2.90271044e-01, 3.60522479e-01, 3.49999988e-03, -2.94704843e+00, 3.10669512e-01, -1.35975882e-01
2.80164719e-01, 3.54305744e-01, 3.49999988e-03, -3.53328753e+00, 6.56408072e-02, -3.99978757e-02
2.19507426e-01, 3.57373744e-01, 3.49999988e-03, 6.25914145e+00, 8.38872850e-01, 5.46740830e-01
2.71199197e-01, 3.31573874e-01, 3.49999988e-03, -4.15068102e+00, 3.84886175e-01, 1.86525658e-01
2.65724510e-01, 3.72013777e-01, 3.49999988e-03, -4.48695230e+00, 5.93045771e-01, -2.01398894e-01
2.29250818e-01, 3.35905313e-01, 3.49999988e-03, 4.68774891e+00, 7.46325493e-01, -8.18777859e-01
2.74949193e-01, 3.40164900e-01, 3.49999988e-03, -3.89539981e+00, 9.05241594e-02, 7.64419213e-02
2.41035432e-01, 3.73794675e-01, 3.49999988e-03, -1.34074938e+00, 1.32165849e+00, 5.46306908e-01
2.68660724e-01, 3.34149688e-01, 3.49999988e-03, -4.55403090e+00, 1.79150850e-01, 1.17946044e-01
2.71433324e-01, 3.55509847e-01, 3.49999988e-03, -4.05131865e+00, 6.14179857e-03, -1.01163136e-02
2.65049905e-01, 3.66360754e-01, 3.49999988e-03, -5.05673981e+00, 1.25612736e-01, -8.47587213e-02
2.32290149e-01, 3.62280309e-01, 3.49999988e-03, 5.34836864e+00, 2.52574980e-01, 3.32074970e-01
2.36904576e-01, 3.32802802e-01, 3.49999988e-03, 1.57865798e+00, 4.23455119e-01, -3.15715224e-01
2.38766909e-01, 3.31582099e-01, 3.49999988e-03, 3.59247416e-01, 4.51178581e-01, -2.76073575e-01
