
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -2.67080737e+03, 4.25682640e+00, -2.36865893e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -2.23193652e+03, -3.53471851e+00, 3.93965816e+00
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -2.22792188e+03, -3.59333158e+00, 3.93374610e+00
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -2.22084839e+03, -3.59847713e+00, 4.26762915e+00
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -2.22044214e+03, -3.64341283e+00, 4.12893867e+00
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -2.21081982e+03, -3.67307925e+00, 4.55207586e+00
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -2.21196655e+03, -3.67585826e+00, 4.34116077e+00
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, -1.03340564e+03, 7.83446503e+01, 5.96843452e+01
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, -9.34607361e+02, 7.56916199e+01, 5.98675270e+01
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 2.08342407e+03, 3.16890755e+01, -4.68591537e+01
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 1.92560657e+03, 3.18342419e+01, -4.65699768e+01
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -2.11774243e+03, 4.61012039e+01, -3.27999496e+00
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -2.08910254e+03, 6.40171509e+01, -4.39194632e+00
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -2.20488623e+03, -2.85909319e+00, -3.39023590e+00
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -2.20416064e+03, -3.11985207e+00, -3.70922589e+00
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -2.65146924e+03, 8.66188431e+01, -4.70629997e+01
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 7.92492920e+02, 8.62569885e+01, -1.32819071e+01
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -1.50514941e+03, 1.09759277e+02, 8.32356358e+00
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -1.90852332e+03, 1.09380592e+02, 1.34202633e+01
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -2.12889526e+03, 6.28632240e+01, -6.71548843e+00
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 5.41490662e+02, 8.37968597e+01, 3.29636497e+01
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -2.19064575e+03, -3.38521981e+00, -4.91611099e+00
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -3.34547925e+03, 7.99931183e+01, -2.95893478e+01
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 4.41236475e+03, 8.04859257e+00, -1.62455330e+01
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 4.38350098e+03, 7.11013269e+00, -1.64948788e+01
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 3.48053345e+03, 1.60637894e+01, -3.23747787e+01
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 3.34841895e+03, 1.61393452e+01, -3.26977043e+01
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -3.44225562e+03, 4.50776062e+01, -9.07164574e+00
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -3.43615161e+03, 3.87122307e+01, -7.07252502e+00
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -3.10155249e+03, 2.75371857e+01, -2.71709251e+00
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -3.06875049e+03, 2.22788010e+01, -1.66674769e+00
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -3.30145776e+03, 3.62622375e+01, 5.41231108e+00
2.49690250e-01, 3.71678323e-01, 3.49999988e-03, -3.35451099e+03, 3.39297371e+01, 5.18682671e+00
2.17573375e-01, 3.07989866e-01, 3.49999988e-03, 5.99429810e+02, 8.68799438e+01, -2.09154491e+01
2.85152465e-01, 3.71849865e-01, 3.49999988e-03, -2.15447363e+03, 1.73897686e+01, 3.95970154e+00
2.30627552e-01, 3.05202305e-01, 3.49999988e-03, -8.72539291e+01, 9.39593811e+01, -2.35981350e+01
2.90271044e-01, 3.60522479e-01, 3.49999988e-03, -2.15701978e+03, -6.83119202e+00, 2.67092156e+00
2.80164719e-01, 3.54305744e-01, 3.49999988e-03, -2.12312500e+03, -6.18724251e+00, 2.44505572e+00
2.19507426e-01, 3.57373744e-01, 3.49999988e-03, 3.34016235e+03, 4.78762016e+01, 1.74349575e+01
2.71199197e-01, 3.31573874e-01, 3.49999988e-03, -2.17574585e+03, 5.59324145e-01, -4.47813368e+00
2.65724510e-01, 3.72013777e-01, 3.49999988e-03, -2.25585596e+03, 1.47471418e+01, 3.21917558e+00
2.29250818e-01, 3.35905313e-01, 3.49999988e-03, 1.64097351e+03, 5.61093407e+01, -5.27386665e+01
2.74949193e-01, 3.40164900e-01, 3.49999988e-03, -2.13958984e+03, -3.83032966e+00, -5.59258699e+00
2.41035432e-01, 3.73794675e-01, 3.49999988e-03, -2.34346045e+03, 1.03681969e+02, 4.65500298e+01
2.68660724e-01, 3.34149688e-01, 3.49999988e-03, -2.19878491e+03, -3.53710198e+00, -4.63933849e+00
2.71433324e-01, 3.55509847e-01, 3.49999988e-03, -2.11021680e+03, -1.27184653e+00, 2.93093371e+00
2.65049905e-01, 3.66360754e-01, 3.49999988e-03, -2.25466333e+03, -3.23479152e+00, 3.17708230e+00
2.32290149e-01, 3.62280309e-01, 3.49999988e-03, 1.10827759e+03, 3.58330040e+01, 4.68551941e+01
2.36904576e-01, 3.32802802e-01, 3.49999988e-03, -1.78418909e+03, 5.73438721e+01, -4.38835945e+01
2.38766909e-01, 3.31582099e-01, 3.49999988e-03, -2.52155249e+03, 5.99230499e+01, -3.81372795e+01
2.43490577e-01, 3.71544540e-01, 3.49999988e-03, -3.34177490e+03, 7.72401581e+01, 3.02542648e+01
2.70347357e-01, 3.42804104e-01, 3.49999988e-03, -2.12527271e+03, -1.20940912e+00, -2.78886867e+00
2.54969299e-01, 3.71057481e-01, 3.49999988e-03, -2.83588354e+03, 1.08004274e+01, 3.50496560e-01
2.59555727e-01, 3.23622167e-01, 3.49999988e-03, -2.39260132e+03, 7.70568314e+01, -1.13880434e+01
2.27747604e-01, 3.45203340e-01, 3.49999988e-03, 4.12171045e+03, 1.66519775e+01, -2.57226543e+01
2.69646943e-01, 3.65731299e-01, 3.49999988e-03, -2.19026733e+03, -3.58921266e+00, 5.22745562e+00
2.63427705e-01, 3.29155266e-01, 3.49999988e-03, -2.31007959e+03, 7.05890894e+00, -2.30920625e+00
2.81542689e-01, 3.61594617e-01, 3.49999988e-03, -2.15079590e+03, -4.52391243e+00, 4.49161339e+00
2.72948742e-01, 3.58362466e-01, 3.49999988e-03, -2.13333057e+03, -3.02858543e+00, 5.20581722e+00
2.02920020e-01, 3.33051503e-01, 3.49999988e-03, 1.99249695e+03, 7.17522964e+01, -1.16244755e+01
2.63123095e-01, 3.30503851e-01, 3.49999988e-03, -2.31831982e+03, 6.66347384e-01, -2.45610452e+00
2.71574557e-01, 3.47456813e-01, 3.49999988e-03, -2.08863940e+03, -6.63073361e-01, -1.27402127e+00
2.26574540e-01, 3.53124589e-01, 3.49999988e-03, 4.34293262e+03, 1.80687351e+01, 1.62690144e+01
2.73250550e-01, 3.59335810e-01, 3.49999988e-03, -2.13897046e+03, -3.34700322e+00, 5.55980587e+00
2.57501721e-01, 3.27497274e-01, 3.49999988e-03, -2.59096533e+03, 2.53035660e+01, -2.18335128e+00
2.65878975e-01, 3.26172829e-01, 3.49999988e-03, -2.23442896e+03, 3.28931427e+01, -4.13984871e+00
6.52559578e-01, 1.88107286e-02, 3.49999988e-03, -1.16363029e+02, 9.11564255e+01, 7.35344887e-02
2.77570635e-01, 3.56877506e-01, 3.49999988e-03, -2.12506445e+03, -4.74305439e+00, 4.20602655e+00
