
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -1.41923904e+02, 1.55801082e+00, 2.94399083e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -1.07645798e+02, 2.50926197e-01, 1.88035488e-01
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -1.07126587e+02, 1.26167521e-01, 2.25988701e-01
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -1.05816254e+02, 2.70609319e-01, 2.41312087e-01
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -1.05877014e+02, 9.85540599e-02, 2.68780589e-01
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -1.04100845e+02, 2.22131759e-01, 3.06436658e-01
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -1.04419342e+02, 4.50370125e-02, 3.23795080e-01
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, -2.42078056e+01, 1.02929811e+01, 8.08857155e+00
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, -1.90209599e+01, 9.65304947e+00, 7.83719110e+00
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 1.11170860e+02, 3.49945259e+00, -5.32030392e+00
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 1.05791008e+02, 3.41770625e+00, -5.11908960e+00
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -7.98633881e+01, 8.39630222e+00, 2.34237924e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -7.96783905e+01, 1.03138275e+01, 1.66870162e-01
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -1.04240112e+02, -1.50055289e-01, -3.18246186e-01
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -1.03970406e+02, -1.35339037e-01, -3.43212366e-01
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -9.24537125e+01, 1.02750273e+01, -5.51417351e+00
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 4.21317673e+01, 1.71842346e+01, -3.08109546e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -5.90036278e+01, 2.13669472e+01, 1.14029145e+00
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -8.42051010e+01, 1.75437832e+01, 1.07627904e+00
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -9.16455765e+01, 9.59900665e+00, -6.80079311e-02
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 2.64621773e+01, 1.65698929e+01, 7.75636721e+00
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -1.01080894e+02, 3.03863823e-01, -4.10166174e-01
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -1.30904114e+02, 9.16269302e+00, -3.12351084e+00
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 2.01214447e+02, 8.18955600e-01, -1.76975346e+00
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 2.00789520e+02, 7.04891980e-01, -1.71852970e+00
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 1.66315048e+02, 1.68158627e+00, -3.50743437e+00
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 1.61827988e+02, 1.65442693e+00, -3.44930458e+00
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -1.52099106e+02, 5.52800941e+00, -8.18284273e-01
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -1.53210129e+02, 4.86483860e+00, -6.27209067e-01
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -1.51527161e+02, 4.15496969e+00, -4.18528616e-02
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -1.51759094e+02, 3.59286427e+00, 5.36852516e-02
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -1.52787048e+02, 4.84779739e+00, 4.03140754e-01
