
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -9.13931274e+00, 3.17582607e-01, 8.13405663e-02
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -7.81160784e+00, 2.05769032e-01, -1.22810096e-01
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -7.81125355e+00, 1.73616841e-01, -1.09743208e-01
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -7.63574886e+00, 2.19402805e-01, -1.28835216e-01
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -7.70792675e+00, 1.71211377e-01, -1.08967267e-01
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -7.48968363e+00, 2.13642240e-01, -1.26848400e-01
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -7.58925724e+00, 1.61318496e-01, -1.04734384e-01
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, 2.19038606e+00, 1.22325706e+00, 9.46375072e-01
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, 2.50097132e+00, 1.13008392e+00, 9.04667437e-01
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 9.71626472e+00, 3.73193443e-01, -5.68966508e-01
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 9.48664284e+00, 3.60911757e-01, -5.41028917e-01
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -4.36246490e+00, 1.49225330e+00, 3.32833707e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -4.35727358e+00, 1.71749020e+00, 3.34149361e-01
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -7.73486090e+00, 7.68409371e-02, 6.12965189e-02
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -7.68058157e+00, 9.27489400e-02, 7.08712116e-02
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -1.91913331e+00, 1.22122502e+00, -6.27605081e-01
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 3.42721415e+00, 3.72530675e+00, -9.54375148e-01
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -3.23674917e+00, 3.78192306e+00, -3.24187987e-02
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -4.99364853e+00, 2.65880179e+00, -1.69920146e-01
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -5.67445755e+00, 1.60201180e+00, 2.97501057e-01
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 2.38711143e+00, 3.15269423e+00, 1.79696012e+00
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -7.19216728e+00, 2.47744158e-01, 1.39348954e-01
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -4.88502359e+00, 1.13278985e+00, -3.52401733e-01
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 1.42522268e+01, 8.35515186e-02, -1.85202003e-01
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 1.42948790e+01, 7.11611211e-02, -1.76726267e-01
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 1.25635710e+01, 1.74512595e-01, -3.66750836e-01
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 1.23766737e+01, 1.70017317e-01, -3.57135981e-01
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -7.33531284e+00, 7.45381236e-01, -8.42772201e-02
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -7.48769903e+00, 6.63117349e-01, -6.37489110e-02
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -8.40601540e+00, 6.32988393e-01, 2.32245605e-02
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -8.56836796e+00, 5.60493410e-01, 3.34119983e-02
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -7.80510712e+00, 6.86906815e-01, 3.06765884e-02
2.49690250e-01, 3.71678323e-01, 3.49999988e-03, -7.74829102e+00, 6.31067872e-01, 3.70582379e-02
2.17573375e-01, 3.07989866e-01, 3.49999988e-03, 2.62422323e+00, 3.72375965e+00, -1.44442880e+00
2.85152465e-01, 3.71849865e-01, 3.49999988e-03, -5.07253790e+00, 1.04412699e+00, -2.98420906e-01
2.30627552e-01, 3.05202305e-01, 3.49999988e-03, 1.76396057e-01, 4.10110140e+00, -1.51907289e+00
2.90271044e-01, 3.60522479e-01, 3.49999988e-03, -4.84592295e+00, 3.61638665e-01, -1.56838462e-01
2.80164719e-01, 3.54305744e-01, 3.49999988e-03, -5.67776299e+00, 5.25544584e-02, -3.70978266e-02
